Emp-ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome (km),Education Level ,Gender,JobInvolvement,JobInvolvement  Level,JobPosition,JobPosition Level,JobRole,JobSatisfaction,JobSatisfaction Level, MonthlyIncome ,OverTime,PerformanceRating,PerformanceRating Level,TrainingTimesLastYear,TraningLevel,WorkLifeBalance,WorkLifeBalance Level,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Date Of Joining,Exit Date,,,,,,,,,,,,,,,,,,,,,,,
Emp-001,41,Yes,Travel Rarely,Sales,1,Post Graduate,Female,3,High,2,Junior Level,Sales Executive,4,Very High," ₹ 59,930 ",Yes,3,Meets Expectation,0,Basic Training,1,Very Poor,6,4,0,19-06-2018,05-05-2022,,,,,,,,,,JobInvolvement,Level,,JobSatisfaction,Level,,WorkLifeBalace,Level,,PerformanceRating,Level,,JobLevel,Level
Emp-002,49,No,Travel Frequently,Research & Development,8,Post Graduate,Male,2,Moderate,2,Junior Level,Research Scientist,2,Moderate," ₹ 51,300 ",No,2,Needs Improvement,3,Regular Training,3,Good,10,7,1,05-08-2014,,,,,,,,,,,1,Low,,1,Low,,1,Very Poor,,1,Unacceptable/PIP,,1,Entry Level
Emp-003,37,Yes,Travel Rarely,Research & Development,2,Phd holder,Male,2,Moderate,1,Entry Level,Laboratory Technician,3,High," ₹ 20,900 ",Yes,2,Needs Improvement,3,Regular Training,3,Good,0,0,0,15-11-2024,22-01-2025,,,,,,,,,,2,Moderate,,2,Moderate,,2,Poor,,2,Needs Improvement,,2,Junior Level
Emp-004,33,No,Travel Frequently,Research & Development,3,Post Graduate,Female,3,High,1,Entry Level,Research Scientist,3,High," ₹ 29,090 ",Yes,3,Meets Expectation,3,Regular Training,3,Good,8,7,3,25-02-2016,,,,,,,,,,,3,High,,3,High,,3,Good,,3,Meets Expectation,,3,Mid Level
Emp-005,27,No,Travel Rarely,Research & Development,2,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,2,Moderate," ₹ 34,680 ",No,3,Meets Expectation,3,Regular Training,3,Good,2,2,2,13-08-2022,,,,,31-Dec-2024,,,,,,4,Very High,,4,Very High,,4,Better,,4,Exceeds Expectation,,4,Senior Level
Emp-006,32,No,Travel Frequently,Research & Development,2,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,4,Very High," ₹ 30,680 ",No,3,Meets Expectation,2,Regular Training,2,Poor,7,7,3,07-04-2017,,,,,,,,,,,,,,,,,,,,5,Pure Talent,,5,Leadership
Emp-007,59,No,Travel Rarely,Research & Development,3,Post Graduate,Female,4,Very High,1,Entry Level,Laboratory Technician,1,Low," ₹ 26,700 ",Yes,4,Exceeds Expectation,3,Regular Training,2,Poor,1,0,0,14-05-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-008,30,No,Travel Rarely,Research & Development,24,Post Graduate,Male,3,High,1,Entry Level,Laboratory Technician,3,High," ₹ 26,930 ",No,3,Meets Expectation,2,Regular Training,3,Good,1,0,0,01-03-2023,,,,,,,,,,,,,,,,,,,,,,,,
Emp-009,38,No,Travel Frequently,Research & Development,23,Post Graduate,Male,2,Moderate,3,Mid Level,Manufacturing Director,3,High," ₹ 95,260 ",No,3,Meets Expectation,2,Regular Training,3,Good,9,7,1,13-12-2015,,,,,,,,,,,,,,,,,,,,,,,,
Emp-010,36,No,Travel Rarely,Research & Development,27,Post Graduate,Male,3,High,2,Junior Level,Healthcare Representative,3,High," ₹ 52,370 ",No,3,Meets Expectation,3,Regular Training,2,Poor,7,7,7,15-09-2017,,,,,,,,,,,,,,,,,,,,,,,,
